"","gns_spc","n_individuals","median_DBH","total_basal_area","pct_total_basal_area"
"1","Abies alba",3,19.8,0.208133654892977,0.0167344665334182
"2","Abies balsamea",37,13,1.0874171837696,0.0874310619251527
"3","Abies concolor",8,26.25,0.494721674805522,0.0397768602807011
"4","Abies grandis",1,10,0.00785398163397448,0.000631479771377723
"5","Abies koreana",1,8,0.00502654824574367,0.000404147053681743
"6","Abies nordmanniana",2,17.25,0.0468293654925729,0.00376519813683967
"7","Abies sibirica",1,4.7,0.00173494454294496,0.000139493881497339
"8","Acer buergerianum",1,5,0.00196349540849362,0.000157869942844431
"9","Acer campestre",2,7,0.00785398163397448,0.000631479771377723
"10","Acer freemanii",155,10,7.92447340865788,0.637147486408851
"11","Acer ginnala",100,15.56,3.25911602978302,0.26204108200077
"12","Acer japonicum",3,5,0.00627027336137333,0.000504145664358033
"13","Acer miyabei",9,14.2,0.172416888014315,0.0138627491251009
"14","Acer negundo",1123,15,57.6845757537267,4.63798419790176
"15","Acer palmatum",72,7,0.479183790123449,0.0385275754817292
"16","Acer platanoides",2049,25.5,205.67299657267,16.5366234487305
"17","Acer rubrum",73,11,4.7280555520977,0.380147494384824
"18","Acer saccharinum",1073,54.5,326.327697984136,26.2375632794751
"19","Acer saccharum",128,39.9,21.1373155281616,1.69949304687993
"20","Acer tataricum",78,10.65,1.83073698868256,0.147195833774948
"21","Aesculus flava",1,6,0.00282743338823081,0.00022733271769598
"22","Aesculus glabra",8,6.8,0.125798009229533,0.0101144746461341
"23","Aesculus hippocastanum",47,35,7.07783416503489,0.569075573216471
"24","Aesculus hybrida",2,7.9,0.0107081185597608,0.000860959520296387
"25","Alnus glutinosa",14,13.45,0.26320420331408,0.0211622763943645
"26","Alnus incana",7,13,0.0845580789924288,0.00679868108671107
"27","Alnus japonica",2,9,0.0128805298797182,0.00103562682505947
"28","Amelanchier alnifolia",12,6.19,0.0496828112679754,0.00399462231553846
"29","Amelanchier canadensis",108,7.185,0.782724895814711,0.0629330397365087
"30","Amelanchier grandiflora",11,4.3,0.0282609821135304,0.00227225366134846
"31","Amelanchier laevis",15,4,0.0228182985048922,0.00183464828346004
"32","Amelanchier ovalis",48,6.4,0.24445971872152,0.0196551729407609
"33","Apocynum androsaemifolium",3,15,0.0731205690123024,0.0058790766715266
"34","Berberis amurensis",11,5,0.0215984494934298,0.00173656937128874
"35","Berberis thunbergii",9,9,0.0756734198395017,0.00608433226440293
"36","Betula alleghaniensis",6,4.95,0.205076099842871,0.0164886314584209
"37","Betula lenta",1,14,0.01539380400259,0.00123770035190034
"38","Betula nigra",15,8,0.182322329651084,0.0146591714127625
"39","Betula papyrifera",35,21,1.45430780095791,0.116929985383351
"40","Betula pendula",22,14.445,0.606066103735813,0.0487292309128058
"41","Betula populifolia",5,26.74,0.580091753397142,0.0466408281665355
"42","Betula pubescens",14,20,0.554797330102507,0.0446070932555533
"43","Brugmansia suaveolens",1,3.91,0.00120072456618365,9.65412589279977e-05
"44","Buxus balearica",1,3.35,0.000881413088872786,7.0867817342865e-05
"45","Buxus sempervirens",2,8.5,0.011388273369263,0.000915645668497698
"46","Callitropsis nootkatensis",9,10,0.0546833471265473,0.0043966779082174
"47","Calocedrus decurrens",1,12,0.0113097335529233,0.000909330870783921
"48","Campsis radicans",1,5.8,0.00264207942166902,0.000212429795091466
"49","Caragana arborescens",125,10,0.810750252703154,0.0651863485403055
"50","Carpinus betulus",8,5.65,0.0273179192759644,0.00219642904998384
"51","Carpinus caroliniana",13,5.4,0.0548757696765797,0.00441214916261615
"52","Carpinus cordata",1,38,0.113411494794592,0.00911856789869432
"53","Carpinus japonica",1,3.5,0.000962112750161874,7.73562719937711e-05
"54","Carya cordiformis",17,4.5,0.50109973621084,0.0402896723734415
"55","Carya glabra",4,4.26666666666667,0.00671602696167418,0.000539985368946995
"56","Castanea dentata",2,26,0.121893794959284,0.00980056605178226
"57","Catalpa speciosa",57,20,7.01436412097746,0.563972422893667
"58","Cedrus atlantica",2,14,0.0314159265358979,0.00252591908551089
"59","Celastrus orbiculatus",1,8.1,0.00515299735005066,0.000414313878000924
"60","Celtis occidentalis",305,8,10.9009610099176,0.876464535715596
"61","Cercidiphyllum japonicum",17,4.5,0.0633343269406334,0.00509223832709603
"62","Cercis canadensis",18,11.9217647058824,0.23092937094503,0.0185672991311763
"63","Cercis siliquastrum",2,5.8,0.00529829601027919,0.000425996253771412
"64","Chamaecyparis pisifera",2,11,0.0196349540849362,0.00157869942844431
"65","Cicuta virosa",3,2.92,0.00483227215604568,0.000388526770056943
"66","Cladrastis kentukea",12,5.295,0.024181474827193,0.00194425106997921
"67","Cordia subcordata",1,20,0.0314159265358979,0.00252591908551089
"68","Cornus alba",11,6,0.0627515539635701,0.00504538192183922
"69","Cornus alternifolia",2,9,0.0183783170235003,0.00147766266502387
"70","Cornus controversa",1,5,0.00196349540849362,0.000157869942844431
"71","Cornus rugosa",1,2,0.000314159265358979,2.52591908551089e-05
"72","Cornus sericea",3,8.5,0.0163559167527519,0.00131505662389411
"73","Corylus americana",1,5,0.00196349540849362,0.000157869942844431
"74","Corylus cornuta",22,10.54,0.508311136483449,0.0408694869958442
"75","Cotinus coggygria",68,8.69451923076923,0.64128353779467,0.0515608007132489
"76","Cotinus obovatus",3,4.24,0.00478741021295241,0.000384919757602834
"77","Cotoneaster acutifolius",34,6,0.104163431420587,0.00837500046789705
"78","Cotoneaster lucidus",1,12,0.0113097335529233,0.000909330870783921
"79","Cottoneaster bullatus",1,4,0.00125663706143592,0.000101036763420436
"80","Crataegus spp.",31,17.5454545454545,1.18898684804628,0.0955975170259516
"81","Cupressus arizonica",7,8,0.0308661478215197,0.00248171550151445
"82","Cupressus sempervirens",2,10.975,0.0190853717200988,0.00153451163144215
"83","Elaeagnus angustifolia",9,17.1,0.295641932860558,0.0237703509981317
"84","Elaeagnus umbellata",2,11.5,0.0274103959025709,0.00220386440210825
"85","Euonymus alatus",157,7,1.02840914375807,0.0826866678900632
"86","Euonymus atropurpureus",3,7.5,0.0155901535434393,0.00125348734618478
"87","Euonymus europaeus",21,6,0.118694290535784,0.00954331789205471
"88","Euonymus latifolius",2,16.5,0.0431183591705199,0.0034668239448637
"89","Fagus grandifolia",1,8,0.00502654824574367,0.000404147053681743
"90","Fagus sylvatica",8,5.85,0.0233577413794401,0.00187802084007735
"91","Ficus carica",3,7.75,0.0141617106337602,0.00113863696276546
"92","Forsythia viridissima",27,9.06,0.263133674559007,0.0211566057060176
"93","Fraxinus americana",136,9.475,7.32774108264181,0.589168714574668
"94","Fraxinus ornus",4,4.5,0.0153201729247715,0.00123178022904367
"95","Fraxinus pennsylvanica",466,30.1,49.7262454309321,3.99811453089776
"96","Fraxinus profunda",2,18.465,0.0539273935402957,0.00433589734874252
"97","Ginkgo biloba",169,5.7,1.83190931867739,0.147290092039306
"98","Gleditsia triacanthos",725,25.7,68.2246736248548,5.48543443450113
"99","Gymnocladus dioicus",163,6.2,2.40857995864233,0.193655854127423
"100","Hamamelis virginiana",1,3,0.000706858347057703,5.68331794239951e-05
"101","Heptacodium miconioides",2,15,0.0354092834976923,0.00284699497526789
"102","Hibiscus sinensis",1,10,0.00785398163397448,0.000631479771377723
"103","Hibiscus syriacus",41,4,0.0801284961827203,0.0064425315474922
"104","Hippophae rhamnoides",1,3,0.000706858347057703,5.68331794239951e-05
"105","Hydrangea arborescens",202,1,0.0198580071633411,0.00159663345395143
"106","Hydrangea paniculata",92,7.09980769230769,0.470143264591386,0.0378006946126135
"107","Juglans cinerea",5,10,0.164375981617452,0.0132162401351644
"108","Juglans nigra",39,6.8,0.818391954843612,0.065800760509353
"109","Juglans regia",1,5,0.00196349540849362,0.000157869942844431
"110","Juniperus communis",101,12,1.77943134916632,0.143070732008482
"111","Juniperus horizontalis",5,17,0.120872777346867,0.00971847368150316
